date:number,ugeo:text,D19:number,D22:number,D23:number,D15:number,D59:number,D16:number,D14:number,D97:number,index:number
1994,Italy,101.12975132,31498.89,31498.89,101.12975132,5425.687,17.4196099307,118.549361251,231.467337209,512.0
1994,Denmark,34.00685475,8922.894,6590.51288889,25.1177044735,150.729111111,0.574457456085,25.6921619296,40.5706976744,633.0
1994,Spain,67.31240389,16179.513,16179.513,67.31240389,1319.995,5.49163850437,72.8040423944,161.823872093,450.0
1994,Luxembourg,0.03480022,10.294,10.294,0.03480022,138.283,0.467483856835,0.502284076835,1.14679069767,438.0
1994,Portugal,14.82122433,4007.979,3968.80788889,14.6763723173,328.042,1.2130762341,15.8894485514,31.3763488372,506.0
1994,United Kingdom,167.08508005,46453.132,46453.132,167.08508005,3322.26,11.9496803369,179.034760387,326.428244186,548.0
1994,Czechia,53.48590241,13492.612,10095.2686667,40.0185341955,1348.48111111,5.34549789993,45.3640320954,58.6944418605,773.0
1994,Ireland,12.44854366,3537.902,3537.902,12.44854366,60.968,0.214523412424,12.6630670724,17.1029302326,740.0
1994,Germany,312.50317841,75246.565,65092.0327778,270.330840115,14712.429,61.1015376533,331.432377768,529.064767442,626.0
1995,Austria,9.85495759,3096.62,2304.39555556,7.33371239306,1279.09511111,4.07070550264,11.4044178957,56.2153023256,203.0
1995,European Union - 27 countries (from 2020),1125.65108854,284760.286,237838.218222,940.16919634,38104.9558889,150.628044653,1090.79724099,2408.21995349,453.0
1995,Denmark,30.41438327,8268.246,5827.34711111,21.4356428781,202.506,0.744909512667,22.1805523908,36.7298255814,604.0
1995,Norway,None,93.224,17.0851111111,None,24.1261111111,None,None,123.060848837,None
1995,Estonia,13.70628779,2879.781,2160.32322222,10.2820359615,52.8902222222,0.251730463898,10.5337664254,8.69144186047,1212.0
1995,Bulgaria,26.1774086,6691.456,5299.25044444,20.7310104345,695.638666667,2.72138345007,23.4523938846,41.7814767442,561.0
1995,Turkey,None,10472.96,10472.96,None,1617.989,None,None,86.2314767442,None
1995,Netherlands,48.71718416,14515.36,12148.2644444,40.772618534,1612.57011111,5.41218923085,46.1848077649,80.8556976744,571.0
1995,Slovenia,5.61127078,1324.534,1104.50511111,4.67913791291,121.932,0.516554100345,5.19569201326,12.9106860465,402.0
1995,Czechia,58.00118457,14700.716,10825.576,42.7119489726,1241.24988889,4.89731002918,47.6092590018,60.8360581395,783.0
1995,Spain,73.21635125,17670.102,17670.102,73.21635125,2335.771,9.67830462866,82.8946558787,167.059930233,496.0
1995,United Kingdom,163.95745616,48155.329,48155.329,163.95745616,3984.229,13.5653533091,177.522809469,333.980883721,532.0
1995,Croatia,3.01925319,971.379,620.566777778,1.92885395238,154.663,0.480725603626,2.40957955601,9.27412790698,260.0
1995,European Union - 28 countries (2013-2020),1289.6085447,332915.615,285993.547222,1107.84747128,42089.1848889,163.040031848,1270.88750313,2742.20083721,463.0
1995,Hungary,19.95952161,5773.614,4745.94066667,16.4068303312,215.729333333,0.74578146211,17.1526117934,34.0122674419,504.0
1995,Slovakia,8.40650028,3618.356,2701.90488889,6.2773160532,283.069222222,0.657652673167,6.93496872636,26.7695116279,259.0
1995,Belgium,24.25146031,6259.51,5997.84111111,23.237666471,751.023,2.90971729039,26.1473837614,74.3946162791,351.0
1995,Greece,42.43485094,9000.716,9000.716,42.43485094,180.479,0.850887803015,43.285738743,41.5445116279,1042.0
1995,France,38.40852406,4976.297,4976.297,38.40852406,3952.34911111,30.5053930518,68.9139171118,494.184988372,139.0
1995,Latvia,3.2789129,1134.87,200.716666667,0.579918816762,35.967,0.10391732998,0.683836146742,3.97847674419,172.0
1995,Cyprus,2.082713,647.052,647.052,2.082713,0.0,0.0,2.082713,2.49654651163,834.0
1995,Iceland,0.01882847,3.544,2.11066666667,0.0112134943604,0.0,0.0,0.0112134943604,4.98010465116,2.0
1995,Ireland,13.1329129,3707.85,3707.85,13.1329129,63.026,0.223233131986,13.356146032,17.8557906977,748.0
1995,Poland,178.56881064,39209.54,30015.6433333,136.697796777,1687.68177778,7.6860714968,144.383868273,138.980988372,1039.0
1995,Luxembourg,0.09371741,9.84,9.84,0.09371741,113.577,1.08172177597,1.17543918597,1.22976744186,956.0
1995,Portugal,17.42868138,4875.438,4835.86911111,17.287230795,500.341111111,1.78861587551,19.0758466706,33.2590232558,574.0
1995,Malta,1.59590674,484.599,484.599,1.59590674,0.0,0.0,1.59590674,1.63170930233,978.0
1995,Lithuania,5.61064618,1897.947,370.131444444,1.09416995041,18.1106666667,0.053538135022,1.14770808543,13.8675,83.0
1995,Sweden,9.09712042,2329.661,568.067666667,2.21825405944,250.745,0.979137076044,3.19739113549,148.324116279,22.0
1995,Finland,21.22849711,5678.262,3255.27533333,12.170027203,581.097,2.17246333211,14.3424905351,64.0233023256,224.0
1995,Romania,53.66943342,16348.772,10387.6831111,34.1004857808,528.172666667,1.73387504382,35.8343608246,59.048372093,607.0
1995,Germany,306.95485531,74274.875,63557.5672222,262.663570293,15087.43,62.3516349593,325.015205252,537.187302326,605.0
1995,Italy,110.72974271,34414.893,34414.893,110.72974271,6159.842,19.8192602195,130.54900293,241.076616279,542.0
1996,Romania,56.28469711,17562.058,11073.278,35.4887848705,504.793222222,1.61781344851,37.106598319,61.0170116279,608.0
1996,Hungary,20.14177214,5848.245,4836.89166667,16.6585992577,206.575555556,0.711460920275,17.370060178,35.0836162791,495.0
1996,Sweden,13.49411484,3475.463,1459.55077778,5.66697036054,306.026,1.18820139591,6.85517175645,140.636604651,49.0
1996,Latvia,3.34145889,1119.371,194.321,0.580071873368,41.803,0.124787050923,0.704858924291,3.12624418605,225.0
1996,European Union - 27 countries (from 2020),1156.27242495,296166.815,245443.778333,958.243322306,36214.6947778,141.386714611,1099.63003692,2493.64653488,441.0
1996,Ireland,13.85199715,3965.114,3965.114,13.85199715,64.851,0.226554865049,14.078552015,19.1765465116,734.0
1996,France,42.57609682,5607.851,5607.851,42.57609682,3845.58544444,29.1965707028,71.7726675228,513.305418605,140.0
1996,European Union - 28 countries (2013-2020),1319.85178125,343988.687,293265.650333,1125.23232769,41527.1767778,159.335816298,1284.56814399,2844.45239535,452.0
1996,Belgium,23.07082858,6250.895,5955.575,21.9808603281,718.11,2.6504032961,24.6312636242,76.0853139535,324.0
1996,Turkey,None,11839.911,11839.911,None,1766.979,None,None,94.8449302326,None
1996,Austria,11.12435368,3579.736,2518.96822222,7.82792178325,1224.42822222,3.80502154342,11.6329433267,54.8698023256,212.0
1996,Germany,320.03471071,78717.278,67949.4946667,276.256972053,12622.146,51.3168766284,327.573848681,555.272046512,590.0
1996,Denmark,42.68004119,11729.415,9008.35055556,32.7788532305,282.272888889,1.02711162702,33.8059648576,53.5383139535,631.0
1996,Norway,None,124.532,21.0842222222,None,30.5152222222,None,None,104.840127907,None
1996,Croatia,2.74345619,1104.349,739.791222222,1.83781106146,138.446,0.343931615532,2.18174267699,11.1706860465,195.0
1996,Greece,41.36809531,8786.217,8786.217,41.36809531,173.295,0.815923858556,42.1840191686,42.5593372093,991.0
1996,Lithuania,6.14181759,2106.262,554.478666667,1.61684862957,11.2115555556,0.0326926702957,1.64954129986,16.7519883721,98.0
1996,Estonia,14.38251754,3024.389,2269.87677778,10.7944257733,46.4192222222,0.220747158452,11.0151729317,9.10136046512,1210.0
1996,Finland,26.74102316,7404.684,4693.094,16.9484795497,638.264333333,2.3050060367,19.2534855864,69.3605,278.0
1996,Italy,105.68785039,32996.837,32996.837,105.68785039,6720.332,21.525015958,127.212866348,244.044069767,521.0
1996,Cyprus,2.204086,684.564,684.564,2.204086,0.0,0.0,2.204086,2.60853488372,845.0
1996,Poland,185.02576749,41195.842,30938.5797778,138.95660801,1841.95433333,8.2728983718,147.229506382,143.147244186,1029.0
1996,Netherlands,49.42228602,14954.509,12233.8678889,40.4309976299,1760.27911111,5.81744393643,46.2484415663,85.1721162791,543.0
1996,Malta,1.65239431,509.855,509.855,1.65239431,0.0,0.0,1.65239431,1.65769767442,997.0
1996,Iceland,0.01694082,2.517,1.61477777778,0.0108683590279,0.0,0.0,0.0108683590279,5.12208139535,2.0
1996,Spain,59.95460557,14723.397,14723.397,59.95460557,1913.179,7.79058612152,67.7451916915,174.427593023,388.0
1996,Portugal,13.50265548,3637.383,3591.60411111,13.3327155631,466.858666667,1.73306790455,15.0657834676,34.5147790698,437.0
1996,Czechia,60.95566668,15566.245,11314.655,44.3069178713,1493.96222222,5.85018822782,50.1571060991,64.2454534884,781.0
